Distance_(pixels);Gray_Value;X_Fit:_Gaussian;Fit:_Gaussian
688;132.305;814.719;101.5797
689;132.333;815.903;101.5576
690;131.575;817.087;101.5365
691;131.333;818.271;101.5166
692;131.520;819.455;101.4977
693;131.333;820.640;101.4798
694;130.737;821.824;101.4628
695;129.546;823.008;101.4467
696;128.863;824.192;101.4315
697;128.280;825.376;101.4171
698;128.333;826.561;101.4034
699;127.465;827.745;101.3905
700;127.224;828.929;101.3783
701;126.155;830.113;101.3668
702;125.991;831.297;101.3559
703;125.765;832.482;101.3456
704;126.000;833.666;101.3358
705;125.463;834.850;101.3267
706;126.313;836.034;101.3180
707;125.712;837.218;101.3098
708;125.950;838.402;101.3021
709;128.190;839.587;101.2948
710;131.008;840.771;101.2880
711;131.975;841.955;101.2815
712;130.835;843.139;101.2754
713;129.134;844.323;101.2697
714;127.262;845.508;101.2643
715;126.007;846.692;101.2592
716;125.555;847.876;101.2544
717;124.538;849.060;101.2499
718;123.069;850.244;101.2457
719;121.215;851.428;101.2417
720;118.256;852.613;101.2380
721;116.089;853.797;101.2345
722;114.983;854.981;101.2312
723;113.346;856.165;101.2281
724;112.645;857.349;101.2252
725;113.634;858.534;101.2225
726;114.772;859.718;101.2200
727;115.207;860.902;101.2176
728;115.641;862.086;101.2153
729;115.174;863.270;101.2132
730;114.924;864.454;101.2113
731;113.686;865.639;101.2094
732;112.396;866.823;101.2077
733;112.000;868.007;101.2061
734;112.136;869.191;101.2046
735;112.292;870.375;101.2032
736;112.828;871.560;101.2019
737;113.449;872.744;101.2006
738;113.014;873.928;101.1995
739;112.667;875.112;101.1984
740;112.785;876.296;101.1974
741;111.663;877.480;101.1965
742;112.540;878.665;101.1956
743;112.099;879.849;101.1948
744;110.916;881.033;101.1940
745;110.112;882.217;101.1933
746;109.333;883.401;101.1927
747;109.253;884.586;101.1921
748;108.645;885.770;101.1915
749;107.710;886.954;101.1910
750;107.191;888.138;101.1905
751;107.000;889.322;101.1900
752;107.000;890.507;101.1896
753;107.000;891.691;101.1892
754;107.000;892.875;101.1888
755;106.987;894.059;101.1885
756;106.802;895.243;101.1882
757;106.667;896.427;101.1879
758;106.416;897.612;101.1876
759;105.526;898.796;101.1873
760;105.632;899.980;101.1871
761;105.456;901.164;101.1869
762;105.333;902.348;101.1867
763;104.974;903.533;101.1865
764;104.667;904.717;101.1863
765;104.326;905.901;101.1862
766;103.667;907.085;101.1860
767;103.595;908.269;101.1859
768;103.467;909.453;101.1857
769;103.667;910.638;101.1856
770;104.137;911.822;101.1855
771;104.664;913.006;101.1854
772;105.897;914.190;101.1853
773;106.806;915.374;101.1852
774;107.322;916.559;101.1852
775;107.730;917.743;101.1851
776;107.645;918.927;101.1850
777;107.864;920.111;101.1850
778;106.635;921.295;101.1849
779;106.200;922.479;101.1848
780;105.681;923.664;101.1848
781;105.777;924.848;101.1847
782;106.553;926.032;101.1847
783;108.315;927.216;101.1847
784;110.118;928.400;101.1846
785;111.877;929.585;101.1846
786;112.243;930.769;101.1846
787;111.745;931.953;101.1845
788;112.276;933.137;101.1845
789;111.628;934.321;101.1845
790;112.267;935.505;101.1845
791;112.682;936.690;101.1845
792;112.547;937.874;101.1844
793;111.187;939.058;101.1844
794;110.489;940.242;101.1844
795;111.156;941.426;101.1844
796;111.893;942.611;101.1844
797;111.888;943.795;101.1844
798;112.334;944.979;101.1844
799;112.981;946.163;101.1843
800;113.519;947.347;101.1843
801;113.758;948.532;101.1843
802;114.127;949.716;101.1843
803;113.784;950.900;101.1843
804;113.333;952.084;101.1843
805;113.205;953.268;101.1843
806;113.427;954.452;101.1843
807;114.118;955.637;101.1843
808;114.939;956.821;101.1843
809;114.994;958.005;101.1843
810;115.000;959.189;101.1843
811;114.434;960.373;101.1843
812;113.338;961.558;101.1843
813;112.120;962.742;101.1843
814;111.048;963.926;101.1843
815;110.981;965.110;101.1843
816;112.153;966.294;101.1843
817;114.034;967.478;101.1843
